Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;734,62;719,91;721,82;;722,11;727,76;;775,14;811,90;;837,55
2;;731,66;721,20;;;721,52;737,79;760,20;767,10;;810,91;828,17
3;;734,86;726,74;;711,06;720,44;;761,39;768,36;;814,42;837,72
4;710,95;730,53;731,30;;706,29;719,93;;774,54;;803,90;815,52;
5;702,93;737,23;729,15;717,12;705,25;;735,06;775,54;;805,89;815,58;
6;702,29;;;717,90;703,09;;734,66;776,69;766,53;810,63;;837,69
7;696,18;;;718,17;701,27;717,12;743,25;;770,33;816,28;;842,32
8;709,99;736,65;733,11;714,21;;716,06;751,36;;777,94;813,62;812,40;
9;;735,07;738,46;708,09;;717,82;753,67;784,50;787,51;;806,61;839,53
10;;733,13;733,42;;694,47;718,98;;787,40;791,28;;797,78;841,32
11;713,28;728,90;728,89;;693,74;720,77;;780,08;;;791,71;
12;718,89;722,52;718,40;711,23;700,04;;748,70;773,01;;820,18;791,30;
13;725,24;;;709,51;707,19;;744,10;772,78;789,91;827,56;;849,16
14;739,72;;;708,71;708,64;720,28;746,56;;784,26;820,19;;843,43
15;735,35;724,39;718,37;707,25;;719,17;747,93;;783,25;816,81;797,80;846,43
16;;718,45;721,49;701,98;;725,11;;774,25;781,85;;801,96;848,52
17;;717,38;723,47;;703,17;726,62;;784,18;;;806,24;849,65
18;735,06;719,78;730,93;;715,62;735,69;;789,62;;826,19;819,56;
19;736,11;712,14;724,59;701,55;713,63;;754,17;787,71;;820,29;834,57;
20;733,73;;;700,96;715,31;;759,71;789,98;780,59;813,33;;846,64
21;730,38;;;697,19;;;758,85;;788,05;811,55;;863,21
22;715,56;707,12;717,96;696,80;;746,17;755,37;;785,10;817,61;832,72;868,76
23;;709,65;716,46;705,41;;749,34;750,81;786,43;785,03;;808,14;866,25
24;;706,76;720,62;;716,41;735,13;;783,30;787,24;;809,94;857,14
25;724,26;703,65;723,35;;727,09;731,10;;782,17;;816,58;811,70;
26;731,92;708,04;730,82;712,54;734,75;;758,44;783,03;;810,16;819,59;
27;731,00;;;707,05;732,82;;764,21;785,06;788,98;806,55;;863,29
28;736,88;;;702,02;730,43;;761,03;;795,48;804,32;;858,59
29;741,40;;729,50;700,15;;732,25;767,29;;798,63;805,47;829,94;855,94
30;;;736,17;705,09;;735,28;758,53;784,39;803,59;;836,73;850,25
31;;;732,11;;724,92;;;779,97;;;;
Promedio;723,56;722,63;726,37;707,85;712,26;726,54;750,44;779,83;783,63;813,95;812,62;849,12
